23,Rear-Wheel Drive,1900,Premium Gasoline,BMW,318ti,Manual 5-spd,Compact Cars,1997,-2750,
19,Rear-Wheel Drive,2250,Premium Gasoline,BMW,528i,Automatic 4-spd,Compact Cars,1997,-4500,
21,Rear-Wheel Drive,2050,Premium Gasoline,BMW,528i,Manual 5-spd,Compact Cars,1997,-3500,
18,Rear-Wheel Drive,2400,Premium Gasoline,BMW,540i,Automatic 5-spd,Compact Cars,1997,-5250,
16,Rear-Wheel Drive,2700,Premium Gasoline,BMW,540i,Manual 6-spd,Compact Cars,1997,-6750,
23,Front-Wheel Drive,1550,Regular Gasoline,Buick,Skylark,Automatic 4-spd,Compact Cars,1997,-1000,
21,Front-Wheel Drive,1700,Regular Gasoline,Buick,Skylark,Automatic 4-spd,Compact Cars,1997,-1750,
24,Front-Wheel Drive,1500,Regular Gasoline,Chevrolet,Cavalier,Automatic 3-spd,Compact Cars,1997,-750,
19,Front-Wheel Drive,-1,Premium,15,Chrysler,0.0,0,Midsize Cars,1985,
25,Front-Wheel Drive,1450,Regular Gasoline,Chevrolet,Cavalier,Automatic 4-spd,Compact Cars,1997,-500,
26,Front-Wheel Drive,1350,Regular Gasoline,Chevrolet,Cavalier,Manual 5-spd,Compact Cars,1997,0,
24,Front-Wheel Drive,1500,Regular Gasoline,Chevrolet,Cavalier,Manual 5-spd,Compact Cars,1997,-750,
23,Front-Wheel Drive,1550,Regular Gasoline,Chevrolet,Cavalier,Automatic 4-spd,Compact Cars,1997,-1000,
23,Front-Wheel Drive,1550,Regular Gasoline,Chevrolet,Cavalier,Manual 5-spd,Compact Cars,1997,-1000,
21,Front-Wheel Drive,1700,Regular Gasoline,Chrysler,Sebring,Automatic 4-spd,Compact Cars,1997,-1750,
22,Front-Wheel Drive,1600,Regular Gasoline,Chrysler,Sebring,Manual 5-spd,Compact Cars,1997,-1250,
20,Front-Wheel Drive,1800,Regular Gasoline,Chrysler,Sebring,Automatic 4-spd,Compact Cars,1997,-2250,
21,Front-Wheel Drive,1700,Regular Gasoline,Chrysler,Sebring Convertible,Automatic 4-spd,Compact Cars,1997,-1750,
19,Front-Wheel Drive,1900,Regular Gasoline,Chrysler,Sebring Convertible,Automatic 4-spd,Compact Cars,1997,-2750,
19,Front-Wheel Drive,1900,Regular Gasoline,Chrysler,LeBaron,Automatic 3-spd,Midsize Cars,1985,-2750,
19,Front-Wheel Drive,1900,Regular Gasoline,Chrysler,Sebring Convertible,Automatic 4-spd,Compact Cars,1997,-2750,
21,Front-Wheel Drive,1700,Regular Gasoline,Nissan,Altima / Stanza,Automatic 4-spd,Compact Cars,1997,-1750,
24,Front-Wheel Drive,1500,Regular Gasoline,Nissan,Altima / Stanza,Manual 5-spd,Compact Cars,1997,-750,
21,Front-Wheel Drive,1700,Regular Gasoline,Dodge,Avenger,Automatic 4-spd,Compact Cars,1997,-1750,
23,Front-Wheel Drive,1550,Regular Gasoline,Dodge,Avenger,Manual 5-spd,Compact Cars,1997,-1000,
20,Front-Wheel Drive,1800,Regular Gasoline,Dodge,Avenger,Automatic 4-spd,Compact Cars,1997,-2250,
25,Front-Wheel Drive,1450,Regular Gasoline,Dodge,Neon,Automatic 3-spd,Compact Cars,1997,-500,
29,Front-Wheel Drive,1250,Regular Gasoline,Dodge,Neon,Manual 5-spd,Compact Cars,1997,500,
23,Front-Wheel Drive,1550,Regular Gasoline,Ford,Contour,Automatic 4-spd,Compact Cars,1997,-1000,
24,Front-Wheel Drive,1500,Regular Gasoline,Ford,Contour,Manual 5-spd,Compact Cars,1997,-750,
19,Front-Wheel Drive,-1,Premium,0,Chrysler,0.0,0,Midsize Cars,1985,
22,Front-Wheel Drive,1600,Regular Gasoline,Ford,Contour,Automatic 4-spd,Compact Cars,1997,-1250,
21,Front-Wheel Drive,1700,Regular Gasoline,Ford,Contour,Manual 5-spd,Compact Cars,1997,-1750,
26,Front-Wheel Drive,1350,Regular Gasoline,Ford,Escort,Automatic 4-spd,Compact Cars,1997,0,
28,Front-Wheel Drive,1300,Regular Gasoline,Ford,Escort,Manual 5-spd,Compact Cars,1997,250,
24,Front-Wheel Drive,1500,Regular Gasoline,Kia,Sephia,Automatic 4-spd,Compact Cars,1997,-750,
27,Front-Wheel Drive,1300,Regular Gasoline,Kia,Sephia,Manual 5-spd,Compact Cars,1997,250,
23,Front-Wheel Drive,1550,Regular Gasoline,Kia,Sephia,Automatic 4-spd,Compact Cars,1997,-1000,
24,Front-Wheel Drive,1500,Regular Gasoline,Kia,Sephia,Manual 5-spd,Compact Cars,1997,-750,
23,Front-Wheel Drive,1550,Regular Gasoline,Honda,Accord,Automatic 4-spd,Compact Cars,1997,-1000,
22,Front-Wheel Drive,1600,Regular Gasoline,Honda,Accord,Automatic 4-spd,Compact Cars,1997,-1250,
21,Front-Wheel Drive,1700,Regular Gasoline,Chrysler,LeBaron GTS,Automatic 3-spd,Midsize Cars,1985,-1750,
25,Front-Wheel Drive,1450,Regular Gasoline,Honda,Accord,Manual 5-spd,Compact Cars,1997,-500,
